basetime,city_id,NO2,O3,PM10,PM2.5
2023-01-01,AQ001,9.56,56.59,17.12,9.89
2023-01-01,AQ002,22.76,36.96,32.71,26.57
2023-01-01,AQ003,21.56,30.63,30.92,17.71
2023-01-01,AQ004,30.18,18.38,36.77,27.56
2023-01-01,AQ005,33.51,17.22,51.28,34.18
2023-01-01,AQ006,11.45,45.28,16.36,10.49
2023-01-01,AQ007,9.78,34.22,8.35,5.78
2023-01-01,AQ008,3.50,73.20,16.29,6.77
2023-01-01,AQ009,11.30,19.91,24.23,21.06
2023-01-01,AQ010,6.95,51.29,11.55,6.26
2023-01-01,AQ011,20.32,22.89,37.54,30.07
2023-01-01,AQ012,21.85,7.49,36.46,29.27
2023-01-01,AQ013,11.81,47.97,14.23,7.73
2023-01-01,AQ014,6.91,60.15,16.11,8.83
2023-01-01,AQ015,12.27,60.61,8.28,5.82
2023-01-01,AQ016,11.29,55.56,15.63,9.92
2023-01-01,AQ017,6.81,56.58,8.20,4.11
2023-01-01,AQ018,9.07,64.71,24.47,13.69
2023-01-01,AQ019,11.02,38.48,21.45,20.79
2023-01-01,AQ020,11.44,63.41,14.47,7.77
2023-01-01,AQ021,7.09,45.28,12.13,6.86
2023-01-01,AQ022,5.06,64.51,16.54,8.54
2023-01-01,AQ023,24.34,22.64,26.60,15.43
2023-01-01,AQ024,5.98,61.65,21.29,11.51
2023-01-01,AQ025,35.02,0.62,45.12,43.24
2023-01-01,AQ026,9.36,36.61,20.03,12.16
2023-01-01,AQ027,19.37,25.05,17.29,13.70
2023-01-01,AQ028,43.03,16.13,44.09,34.60
2023-01-01,AQ029,4.15,71.80,16.82,10.91
2023-01-01,AQ030,17.11,53.76,19.37,13.41
2023-01-01,AQ031,16.77,40.55,17.90,10.03
2023-01-01,AQ032,8.24,40.48,33.72,25.25
2023-01-01,AQ033,15.34,37.14,20.66,14.79
2023-01-01,AQ034,17.13,14.13,45.92,36.22
2023-01-01,AQ035,5.97,75.06,4.83,3.12
2023-01-01,AQ036,10.25,43.01,9.49,7.22
2023-01-01,AQ037,27.06,20.22,34.74,27.69
2023-01-01,AQ038,7.16,45.30,33.16,31.61
2023-01-01,AQ039,25.87,14.39,81.23,68.19
2023-01-01,AQ040,22.36,20.68,42.09,32.02
2023-01-01,AQ041,12.21,37.85,8.55,5.76
2023-01-01,AQ042,10.57,51.95,10.59,5.44
2023-01-01,AQ043,16.32,37.03,32.60,26.53
2023-01-01,AQ044,31.62,5.67,49.98,49.34
2023-01-01,AQ045,19.34,29.65,16.22,12.47
2023-01-01,AQ046,14.00,56.09,16.73,11.51
2023-01-01,AQ047,28.10,7.07,38.95,30.93
2023-01-01,AQ048,5.61,51.29,13.85,8.38
2023-01-01,AQ049,9.82,43.54,17.53,13.32
2023-01-01,AQ050,9.64,43.16,14.55,12.22
2023-01-02,AQ001,15.08,49.67,9.16,5.62
2023-01-02,AQ002,34.09,33.95,43.91,34.83
2023-01-02,AQ003,34.14,26.36,33.56,18.90
2023-01-02,AQ004,48.54,19.06,47.41,36.44
2023-01-02,AQ005,38.57,9.85,63.43,45.39
2023-01-02,AQ006,12.97,43.78,12.00,7.82
2023-01-02,AQ007,9.44,39.96,10.20,6.70
2023-01-02,AQ008,5.88,60.15,8.60,5.60
2023-01-02,AQ009,13.47,16.10,20.58,15.82
2023-01-02,AQ010,11.96,51.17,7.98,5.12
2023-01-02,AQ011,23.57,23.10,38.73,33.08
2023-01-02,AQ012,24.48,6.23,31.79,27.99
2023-01-02,AQ013,17.34,47.70,11.54,6.97
2023-01-02,AQ014,11.98,46.03,8.15,5.68
2023-01-02,AQ015,15.52,49.53,12.24,8.71
2023-01-02,AQ016,15.71,46.95,8.77,5.64
2023-01-02,AQ017,17.65,50.42,7.40,3.88
2023-01-02,AQ018,27.81,34.04,15.07,10.77
2023-01-02,AQ019,10.78,39.51,18.37,17.03
2023-01-02,AQ020,30.16,37.32,11.87,9.05
2023-01-02,AQ021,7.72,55.65,11.78,6.55
2023-01-02,AQ022,12.00,56.47,18.29,9.08
2023-01-02,AQ023,32.73,26.68,16.83,9.34
2023-01-02,AQ024,9.82,56.31,18.95,11.34
2023-01-02,AQ025,41.33,0.35,45.87,42.45
2023-01-02,AQ026,8.13,48.64,18.44,10.89
2023-01-02,AQ027,24.69,22.55,12.97,9.21
2023-01-02,AQ028,38.03,21.30,37.98,31.16
2023-01-02,AQ029,5.23,71.72,15.46,9.34
2023-01-02,AQ030,15.95,59.11,10.55,6.64
2023-01-02,AQ031,26.17,45.28,9.20,5.62
2023-01-02,AQ032,9.80,35.00,33.73,27.32
2023-01-02,AQ033,19.87,18.51,23.08,17.56
2023-01-02,AQ034,19.58,15.32,40.65,31.34
2023-01-02,AQ035,4.34,74.02,6.34,2.65
2023-01-02,AQ036,12.92,38.53,14.05,10.95
2023-01-02,AQ037,26.60,22.47,29.41,24.19
2023-01-02,AQ038,7.25,46.24,32.20,29.11
2023-01-02,AQ039,30.36,11.74,87.19,70.92
2023-01-02,AQ040,24.36,18.23,52.06,36.85
2023-01-02,AQ041,12.99,41.03,6.94,4.82
2023-01-02,AQ042,12.64,52.14,7.33,4.23
2023-01-02,AQ043,17.02,35.77,30.20,24.25
2023-01-02,AQ044,37.09,5.30,59.76,60.77
2023-01-02,AQ045,34.71,14.20,25.80,19.77
2023-01-02,AQ046,8.87,66.97,10.93,6.84
2023-01-02,AQ047,22.26,9.81,22.71,18.26
2023-01-02,AQ048,14.07,38.96,17.27,12.40
2023-01-02,AQ049,22.95,23.48,28.53,23.09
2023-01-02,AQ050,8.74,47.95,15.15,11.76
